CID,IsomericSMILES,Descriptors,Descriptor Count,alcohol,animal,aquatic,earthy,flower,fruity,green,herbal,savory,spices,woody
2969,CCCCCCCCCC(=O)O,"['savory', 'fruity']",2,0,0,0,0,0,1,0,0,1,0,0
3080,C(C(CS)S)O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
3102,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,"['herbal', 'aquatic', 'flower']",3,0,0,1,0,1,0,0,1,0,0,0
3283,CCOCC,['aquatic'],1,0,0,1,0,0,0,0,0,0,0,0
3314,COC1=C(C=CC(=C1)CC=C)O,"['flower', 'savory', 'spices']",3,0,0,0,0,1,0,0,0,1,1,0
3327,CC(=CCCC(=CCCC(=CCO)C)C)C,"['aquatic', 'flower', 'green']",3,0,0,1,0,1,0,1,0,0,0,0
3338,CCCCC(C1=CC=CC=C1)O,"['herbal', 'flower', 'green', 'fruity']",4,0,0,0,0,1,1,1,1,0,0,0
3485,C(CC=O)CC=O,"['green', 'fruity']",2,0,0,0,0,0,1,1,0,0,0,0
3611,CC(C)C1=CC(=O)C(=CC=C1)O,['green'],1,0,0,0,0,0,0,1,0,0,0,0
3776,CC(C)O,"['animal', 'aquatic', 'alcohol']",3,1,1,1,0,0,0,0,0,0,0,0
3893,CCCCCCCCCCCC(=O)O,"['aquatic', 'flower', 'fruity']",3,0,0,1,0,1,1,0,0,0,0,0
4133,COC(=O)C1=CC=CC=C1O,"['herbal', 'earthy', 'fruity']",3,0,0,0,1,0,1,0,1,0,0,0
4458,CC(=CCCC(=CCO)C)C,['flower'],1,0,0,0,0,1,0,0,0,0,0,0
4650,C1=CC(=O)C=CC1=O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
4775,C1=CC=C(C=C1)CCCC(=O)O,"['flower', 'savory']",2,0,0,0,0,1,0,0,0,1,0,0
5054,C1=CC(=CC(=C1)O)O,"['animal', 'savory', 'fruity']",3,0,1,0,0,0,1,0,0,1,0,0
5144,C=CCC1=CC2=C(C=C1)OCO2,"['flower', 'spices']",2,0,0,0,0,1,0,0,0,0,1,0
5146,C1=CC=C(C(=C1)CO)O,['fruity'],1,0,0,0,0,0,1,0,0,0,0,0
5541,CC(=O)OCC(COC(=O)C)OC(=O)C,"['aquatic', 'savory', 'fruity']",3,0,0,1,0,0,1,0,0,1,0,0
5610,C1=CC(=CC=C1CCN)O,"['savory', 'fruity']",2,0,0,0,0,0,1,0,0,1,0,0
5634,C=CCCCCCCCCC(=O)O,"['savory', 'fruity']",2,0,0,0,0,0,1,0,0,1,0,0
5862,C([C@@H](C(=O)O)N)S,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
5961,C(CC(=O)N)[C@@H](C(=O)O)N,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
5971,C=CCN=C=S,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
6027,C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
6054,C1=CC=C(C=C1)CCO,"['green', 'flower', 'earthy', 'aquatic', 'savory']",5,0,0,1,1,1,0,1,0,1,0,0
6137,CSCC[C@@H](C(=O)O)N,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
6140,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
6184,CCCCCC=O,"['aquatic', 'green', 'savory', 'fruity']",4,0,0,1,0,0,1,1,0,1,0,0
6213,CS(=O)(=O)C,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
6268,C(C(C(=O)O)S)C(=O)O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
6276,CCCCCO,"['alcohol', 'savory']",2,1,0,0,0,0,0,0,0,1,0,0
6288,C[C@H]([C@@H](C(=O)O)N)O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
6329,CN,"['savory', 'fruity']",2,0,0,0,0,0,1,0,0,1,0,0
6341,CCN,"['savory', 'fruity']",2,0,0,0,0,0,1,0,0,1,0,0
6342,CC#N,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
6343,CCS,"['savory', 'fruity']",2,0,0,0,0,0,1,0,0,1,0,0
6348,C(=S)=S,"['herbal', 'aquatic', 'green', 'savory']",4,0,0,1,0,0,0,1,1,1,0,0
6354,C1CO1,"['aquatic', 'fruity']",2,0,0,1,0,0,1,0,0,0,0,0
6363,CC(C)N,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
6364,CC(C)S,"['savory', 'fruity']",2,0,0,0,0,0,1,0,0,1,0,0
6378,CC1CO1,"['aquatic', 'alcohol']",2,1,0,1,0,0,0,0,0,0,0,0
6386,CC(C)(C)O,"['animal', 'herbal', 'aquatic', 'savory']",4,0,1,1,0,0,0,0,1,1,0,0
6387,CC(C)(C)S,"['savory', 'fruity']",2,0,0,0,0,0,1,0,0,1,0,0
