CID,IsomericSMILES,Descriptors,alcohol,animal,aquatic,earthy,flower,fruity,green,herbal,savory,spices,woody
3085812,CC(=CCCC1=CCC[C@@H](C1)COC(=O)C)C,"['flower', 'aquatic', 'green', 'fruity']",0,0,1,0,1,1,1,0,0,0,0
3085817,C[C@@H]1C[C@H]2CC(CO[C@@H]2C[C@@H]1C)(C)C,"['flower', 'herbal', 'aquatic', 'fruity']",0,0,1,0,1,1,0,1,0,0,0
3085845,CC1=C[N+](=CC(=N1)C)C(=O)C,['savory'],0,0,0,0,0,0,0,0,1,0,0
3085846,CCOC1=C(C=C(C=C1)C(OCC)OCC)OC,['savory'],0,0,0,0,0,0,0,0,1,0,0
3085847,CC(=CC1=CC=CC=C1)COC(=O)C,['fruity'],0,0,0,0,0,1,0,0,0,0,0
3085924,CCCCCCC(=O)OCC=C(C)CCC=C(C)C,"['flower', 'fruity']",0,0,0,0,1,1,0,0,0,0,0
3086255,C[C@@H]1CC([C@H]2[C@H]1C[C@@H](CC2)CC(=O)C)(C)C,"['green', 'herbal']",0,0,0,0,0,0,1,1,0,0,0
3086387,CC1=NC=CN=C1OC(C)C,"['green', 'fruity']",0,0,0,0,0,1,1,0,0,0,0
3086398,C[C@@H]1[C@@H](CC[C@]1(C)OC(=O)C)C(=C)C,['herbal'],0,0,0,0,0,0,0,1,0,0,0
3086443,CC1=CC=C(C=C1)OCCOC,"['animal', 'earthy', 'fruity', 'green', 'aquatic']",0,1,1,1,0,1,1,0,0,0,0
3086639,C=CCCCCCCCC=CCC#N,['fruity'],0,0,0,0,0,1,0,0,0,0,0
3094320,C1CCCCCC(=O)OCCCC(=O)CCCC1,['animal'],0,1,0,0,0,0,0,0,0,0,0
3301251,CCCCCCC(CC)C=O,['fruity'],0,0,0,0,0,1,0,0,0,0,0
3321360,CC1CCCC(=O)C1=O,['savory'],0,0,0,0,0,0,0,0,1,0,0
3354132,CC1=C(C(=O)C=CO1)OC(=O)C(C)C,"['savory', 'fruity']",0,0,0,0,0,1,0,0,1,0,0
3458885,C1CSCN1CCS,['savory'],0,0,0,0,0,0,0,0,1,0,0
3486665,CCOCC1=CC=CC=C1O,"['savory', 'animal']",0,1,0,0,0,0,0,0,1,0,0
3591866,C1CCCCC=CCCCCC(=O)OCCCC1,"['fruity', 'animal']",0,1,0,0,0,1,0,0,0,0,0
3662099,CCC(=O)OCCCC1CCCCC1,"['green', 'aquatic', 'fruity']",0,0,1,0,0,1,1,0,0,0,0
3722307,CCCCCCCC(=O)COC(=O)C,"['herbal', 'fruity']",0,0,0,0,0,1,0,1,0,0,0
3734338,CCC1=CC=CC=C1S,['savory'],0,0,0,0,0,0,0,0,1,0,0
3757019,CC(=O)OC(CC1=CC=CC=C1)C2=CC=CC=C2,"['green', 'flower']",0,0,0,0,1,0,1,0,0,0,0
3782139,CCCC1CC(=CC(=O)C1)C,"['green', 'herbal', 'aquatic']",0,0,1,0,0,0,1,1,0,0,0
3801157,COC(=O)CC(=O)[O-],"['aquatic', 'fruity']",0,0,1,0,0,1,0,0,0,0,0
3853254,CC1(CC(=O)C2C(C1=O)(O2)C)C,['herbal'],0,0,0,0,0,0,0,1,0,0,0
4047281,CCOC(=O)COC1=CC=C(C=C1)C,"['herbal', 'spices', 'savory', 'fruity']",0,0,0,0,0,1,0,1,1,1,0
4056868,CCC=C(C)C(=O)OC,"['green', 'fruity']",0,0,0,0,0,1,1,0,0,0,0
4072341,COC1=CC(=C(C=C1)O)C(=O)OC,['herbal'],0,0,0,0,0,0,0,1,0,0,0
4120025,CC1C(=NC(S1)CC(C)C)C,"['herbal', 'savory', 'green']",0,0,0,0,0,0,1,1,1,0,0
4179735,CCCCCCCOC(=O)C1=CC=CC=C1N,"['green', 'flower']",0,0,0,0,1,0,1,0,0,0,0
4428124,CCCCCCCC(C)C=O,"['green', 'savory', 'fruity']",0,0,0,0,0,1,1,0,1,0,0
4447651,CC(=O)OCCSC,"['savory', 'fruity']",0,0,0,0,0,1,0,0,1,0,0
4460731,CCCCCCCC(=O)C1=CC=C(C=C1)C,"['green', 'herbal']",0,0,0,0,0,0,1,1,0,0,0
4564493,CC1=C(C(=O)CO1)O,['savory'],0,0,0,0,0,0,0,0,1,0,0
4574094,CCCCCC=C1CCCC1=O,"['green', 'flower', 'herbal', 'fruity']",0,0,0,0,1,1,1,1,0,0,0
4682590,CC(=O)CC(C)(C)SC,"['animal', 'earthy', 'fruity', 'green', 'savory', 'aquatic']",0,1,1,1,0,1,1,0,1,0,0
4684633,CCOC(=O)C(C)(C)CC1=CC=CC=C1,"['flower', 'fruity']",0,0,0,0,1,1,0,0,0,0,0
4685450,C1C(=O)OC2=CC=CC=C2O1,"['green', 'spices']",0,0,0,0,0,0,1,0,0,1,0
4738172,CCOC(=O)CC(C1=CC=CO1)O,"['flower', 'herbal']",0,0,0,0,1,0,0,1,0,0,0
4914396,CC(C)CC(=CC=O)C,"['herbal', 'fruity']",0,0,0,0,0,1,0,1,0,0,0
4925262,C1CC(OC1)COC(=O)C=CC2=CC=CC=C2,['alcohol'],1,0,0,0,0,0,0,0,0,0,0
5063293,CCCCCCOCC#N,"['flower', 'herbal']",0,0,0,0,1,0,0,1,0,0,0
5083701,CCC(C)(C1=CC=CC=C1)OC(=O)C,"['green', 'flower', 'fruity']",0,0,0,0,1,1,1,0,0,0,0
5084146,CCCCOCC1=CC(=C(C=C1)O)OC,"['savory', 'fruity']",0,0,0,0,0,1,0,0,1,0,0
5086912,CC1=CC(CCC1=O)(C)C,['herbal'],0,0,0,0,0,0,0,1,0,0,0
5127281,CCOC(CCOC1=CC=CC=C1)OCC,"['green', 'flower']",0,0,0,0,1,0,1,0,0,0,0
5140436,CCCCOC(=O)CC(=O)OCC,"['green', 'alcohol', 'fruity']",1,0,0,0,0,1,1,0,0,0,0
5244370,CC1OCC2(CCC(=CC2)C)CO1,"['flower', 'green']",0,0,0,0,1,0,1,0,0,0,0
5270647,CCCOC(=O)/C=C/C1=CC=CC=C1,['animal'],0,1,0,0,0,0,0,0,0,0,0
5271566,CCOC(=O)/C=C\C(=O)OCC,"['alcohol', 'fruity']",1,0,0,0,0,1,0,0,0,0,0
5271574,CCCCCCOC(=O)/C=C/C(=O)OCCCCCC,"['flower', 'alcohol', 'green', 'herbal', 'aquatic']",1,0,1,0,1,0,1,1,0,0,0
5273464,CC(C)OC(=O)/C=C/C1=CC=CC=C1,"['spices', 'fruity']",0,0,0,0,0,1,0,0,0,1,0
5273465,CCCCOC(=O)/C=C/C1=CC=CC=C1,"['flower', 'savory', 'fruity']",0,0,0,0,1,1,0,0,1,0,0
5273467,CC(C)CCOC(=O)/C=C/C1=CC=CC=C1,"['animal', 'flower', 'fruity', 'spices', 'savory']",0,1,0,0,1,1,0,0,1,1,0
5273469,C1=CC=C(C=C1)COC(=O)/C=C/C2=CC=CC=C2,"['flower', 'spices']",0,0,0,0,1,0,0,0,0,1,0
5275520,CC(=CCC/C(=C/C(=O)O)/C)C,"['flower', 'fruity', 'green', 'herbal', 'aquatic']",0,0,1,0,1,1,1,1,0,0,0
5280341,CC(CC/C=C(\C)/CCC=C(C)C)CCO,"['flower', 'aquatic', 'fruity']",0,0,1,0,1,1,0,0,0,0,0
5280443,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,"['herbal', 'earthy', 'fruity']",0,0,0,1,0,1,0,1,0,0,0
5280450,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,['green'],0,0,0,0,0,0,1,0,0,0,0
5280462,CC1=CC(=O)CC([C@]1(/C=C/[C@@H](C)O)O)(C)C,"['flower', 'fruity']",0,0,0,0,1,1,0,0,0,0,0
5280511,C1=CC=C(C=C1)/C=C\CO,['flower'],0,0,0,0,1,0,0,0,0,0,0
5280536,COC1=C(C=CC(=C1)/C=C/C=O)O,"['spices', 'savory']",0,0,0,0,0,0,0,0,1,1,0
5280569,C1=CC(=C(C2=C1C=CC(=O)O2)O)O,['herbal'],0,0,0,0,0,0,0,1,0,0,0
5280598,CC(=CCC/C(=C/CC/C(=C/C=O)/C)/C)C,['fruity'],0,0,0,0,0,1,0,0,0,0,0
5280678,C/C(=C\CCC(C)(C=C)O)/CO,['fruity'],0,0,0,0,0,1,0,0,0,0,0
5280934,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,['fruity'],0,0,0,0,0,1,0,0,0,0,0
5281162,CCCCC/C=C\C=C\C(=O)OCC,"['green', 'savory', 'fruity']",0,0,0,0,0,1,1,0,1,0,0
5281163,CCOC(=O)/C(=C/C)/C,"['flower', 'savory', 'aquatic', 'fruity']",0,0,1,0,1,1,0,0,1,0,0
5281167,CC/C=C\CCO,"['alcohol', 'savory', 'fruity', 'green', 'herbal', 'aquatic']",1,0,1,0,0,1,1,1,1,0,0
5281188,C/C=C(\C)/COC(=O)/C(=C/C)/C,"['green', 'flower', 'spices', 'savory']",0,0,0,0,1,0,1,0,1,1,0
5281515,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,"['spices', 'earthy']",0,0,0,1,0,0,0,0,0,1,0
5281516,CC(=CCC/C(=C/C/C=C(\C)/C=C)/C)C,"['flower', 'savory', 'fruity', 'green', 'herbal']",0,0,0,0,1,1,1,1,1,0,0
5281517,CC(=CCC/C(=C/CCC(=C)C=C)/C)C,"['green', 'flower', 'herbal', 'fruity']",0,0,0,0,1,1,1,1,0,0,0
5281520,C/C/1=C\CC(/C=C/C/C(=C/CC1)/C)(C)C,['earthy'],0,0,0,1,0,0,0,0,0,0,0
5281521,C[C@@H]1CC=C([C@@H](C1(C)C)/C=C/C(=O)C)C,"['flower', 'fruity']",0,0,0,0,1,1,0,0,0,0,0
5281531,C/C(=C/CCC1(C2CC3C1(C3C2)C)C)/CO,['woody'],0,0,0,0,0,0,0,0,0,0,1
