,descriptor_normalised,source,source_count
322,fruit overripe fruit,{'goodscents'},1
323,fruit ripe fruit,{'goodscents'},1
324,fruit tropical fruit,{'goodscents'},1
325,fruity,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",7
326,"fruity,citrus",{'dravnieks_1985'},1
327,"fruity,other than citrus",{'dravnieks_1985'},1
328,fungal,"{'ifra_2019', 'goodscents'}",2
329,fusel,{'goodscents'},1
330,galbanum,"{'ifra_2019', 'goodscents'}",2
331,gardenia,"{'aromadb', 'sigma_2014', 'ifra_2019', 'goodscents'}",4
332,garlic,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'flavornet', 'ifra_2019'}",6
333,"garlic, onion",{'dravnieks_1985'},1
334,gasoline,"{'aromadb', 'flavornet', 'leffingwell', 'goodscents'}",4
335,"gasoline, solvent",{'dravnieks_1985'},1
336,gassy,"{'arctander_1960', 'goodscents'}",2
337,genet,{'goodscents'},1
338,geranium,"{'sigma_2014', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",5
339,geranium leaves,{'dravnieks_1985'},1
340,ginger,{'goodscents'},1
341,goaty,{'goodscents'},1
342,gooseberry,{'goodscents'},1
343,gourmand,"{'ifra_2019', 'goodscents'}",2
344,graham cracker,{'goodscents'},1
345,grain,{'goodscents'},1
346,grain toasted grain,{'goodscents'},1
347,grainy (as grain),{'dravnieks_1985'},1
348,grape,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",7
349,grape juice,{'dravnieks_1985'},1
350,grape skin,{'goodscents'},1
351,grapefruit,"{'sigma_2014', 'leffingwell', 'goodscents', 'dravnieks_1985', 'flavornet', 'ifra_2019'}",6
352,grapefruit peel,{'goodscents'},1
353,grassy,"{'leffingwell', 'aromadb', 'goodscents', 'flavornet', 'ifra_2019'}",5
354,gravy,{'goodscents'},1
355,greasy,"{'aromadb', 'goodscents'}",2
356,green,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",7
357,green bean,{'flavornet'},1
358,green leaf,{'flavornet'},1
359,green pepper,"{'dravnieks_1985', 'flavornet'}",2
360,green tea,"{'aromadb', 'flavornet'}",2
361,grilled,{'goodscents'},1
362,guaiacol,{'goodscents'},1
363,guaiacwood,{'goodscents'},1
364,guava,{'goodscents'},1
365,hairy,{'goodscents'},1
366,ham,"{'leffingwell', 'goodscents', 'dravnieks_1985', 'arctander_1960', 'ifra_2019'}",5
367,harsh,{'goodscents'},1
368,hawthorn,"{'sigma_2014', 'flavornet', 'ifra_2019', 'goodscents'}",4
369,hay new mown hay,{'goodscents'},1
370,hazelnut,"{'sigma_2014', 'flavornet', 'leffingwell', 'goodscents'}",4
371,hazelnut roasted hazelnut,{'goodscents'},1
372,heavy,"{'dravnieks_1985', 'goodscents'}",2
373,heliotrope,{'goodscents'},1
374,herb,"{'flavornet', 'goodscents'}",2
375,herbaceous,"{'aromadb', 'sigma_2014', 'goodscents'}",3
376,herbal,"{'sigma_2014', 'leffingwell', 'goodscents', 'arctander_1960', 'ifra_2019'}",5
377,"herbal, green,cutgrass",{'dravnieks_1985'},1
378,hesperidic,{'goodscents'},1
379,honey,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'dravnieks_1985', 'arctander_1960', 'flavornet', 'ifra_2019'}",8
380,honeydew,"{'ifra_2019', 'goodscents'}",2
381,honeysuckle,{'goodscents'},1
382,horseradish,"{'sigma_2014', 'flavornet', 'leffingwell', 'goodscents'}",4
383,hot milk,{'flavornet'},1
384,household gas,{'dravnieks_1985'},1
385,humus,"{'flavornet', 'goodscents'}",2
386,hyacinth,"{'sigma_2014', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",5
387,hydrocarbon,{'goodscents'},1
388,immortelle,{'goodscents'},1
389,impacting,{'goodscents'},1
390,incense,"{'dravnieks_1985', 'goodscents'}",2
391,indole,{'goodscents'},1
392,indolic,{'ifra_2019'},1
393,iodine,{'goodscents'},1
394,iris,{'sigma_2014'},1
395,jackfruit,{'goodscents'},1
396,jam,"{'sigma_2014', 'goodscents'}",2
397,jammy,{'goodscents'},1
398,jasmin,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",7
399,juicy,"{'ifra_2019', 'goodscents'}",2
400,juicy fruit,{'goodscents'},1
401,juniper,"{'ifra_2019', 'goodscents'}",2
402,kernel,{'goodscents'},1
403,kerosene,{'dravnieks_1985'},1
404,ketonic,"{'leffingwell', 'goodscents'}",2
405,kimchi,{'goodscents'},1
406,"kippery,smoked fish",{'dravnieks_1985'},1
407,kiwi,"{'ifra_2019', 'goodscents'}",2
408,labdanum,{'goodscents'},1
409,lactone,"{'flavornet', 'goodscents'}",2
410,lactonic,"{'ifra_2019', 'goodscents'}",2
411,lamb,{'goodscents'},1
412,lard,{'goodscents'},1
413,laurel leaves,{'dravnieks_1985'},1
414,lavender,"{'sigma_2014', 'aromadb', 'goodscents', 'dravnieks_1985', 'flavornet', 'ifra_2019'}",6
415,leafy,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",7
416,leathery,"{'leffingwell', 'goodscents', 'dravnieks_1985', 'arctander_1960', 'ifra_2019'}",5
417,leek,{'goodscents'},1
418,lemon,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'dravnieks_1985', 'flavornet', 'ifra_2019'}",7
419,lemon peel,{'goodscents'},1
420,lemongrass,"{'ifra_2019', 'goodscents'}",2
